site,category,prefire_load_tonsPerAcre,postfire_load_tonsPerAcre,consumption_tonsPerAcre,percent_consumed,Consume21_predictedConsumption_siteFuelMoisture,Consume42_predictedConsumption_siteFuelMoisture,Consume21_predictedConsumption_fallAveFuelMoisture,Consume42_predictedConsumption_fallAveFuelMoisture,Consume21_predictedConsumption_springAveFuelMoisture,Consume42_predictedConsumption_springAveFuelMoisture
UR-1,litter,2.21,   NA,   NA,   NA,   NA,   NA,1.44,2.21,0.97,0.99
UR-1,duff,26.45,   NA,   NA,   NA,   NA,   NA,13.91,6.67,7.99,0
UR-1,herb,0.02,   NA,   NA,   NA,   NA,   NA,0.02,0.02,0.02,0.02
UR-1,shrub,0.07,   NA,   NA,   NA,   NA,   NA,0.05,0.05,0.05,0.05
UR-1,Total,40.27,   NA,   NA,   NA,   NA,   NA,19.74,16.06,11.3,4.28
Vulcan,hr_1,0.34,   NA,   NA,   NA,   NA,   NA,0.34,0.34,0.34,0.34
Vulcan,hr_10,1.61,   NA,   NA,   NA,   NA,   NA,1.43,1.39,1.43,1.39
Vulcan,hr_100,2.93,   NA,   NA,   NA,   NA,   NA,2.46,2.3,2.07,2.3
Vulcan,hr_1000S,3.85,   NA,   NA,   NA,   NA,   NA,1.32,2.45,0.22,0.21
Vulcan,hr_1000R,6.1,   NA,   NA,   NA,   NA,   NA,1.16,4.34,0.18,1.01
Vulcan,litter,1.71,   NA,   NA,   NA,   NA,   NA,1.04,1.71,0.62,0.76
Vulcan,duff,29.71,   NA,   NA,   NA,   NA,   NA,15.74,7.49,9.35,0
Vulcan,herb,0.05,   NA,   NA,   NA,   NA,   NA,0.05,0.05,0.05,0.05
Vulcan,shrub,0.36,   NA,   NA,   NA,   NA,   NA,0.25,0.24,0.25,0.24
Vulcan,Total,46.66,   NA,   NA,   NA,   NA,   NA,23.79,20.31,14.51,6.3
Mile8,hr_1,0.19,   NA,   NA,   NA,   NA,   NA,0.19,0.19,0.19,0.19
Mile8,hr_10,1.18,   NA,   NA,   NA,   NA,   NA,1.03,1.02,1.03,1.02
Mile8,hr_100,1.79,   NA,   NA,   NA,   NA,   NA,1.47,1.4,1.08,1.4
Mile8,hr_1000S,4.8,   NA,   NA,   NA,   NA,   NA,1.18,2.32,0.2,0.21
Mile8,hr_1000R,3.87,   NA,   NA,   NA,   NA,   NA,0.74,2.52,0.21,0.48
Mile8,litter,2.65,   NA,   NA,   NA,   NA,   NA,1.76,2.65,1.26,1.18
Mile8,duff,15.13,   NA,   NA,   NA,   NA,   NA,7.43,3.82,3.25,0
Mile8,herb,0.07,   NA,   NA,   NA,   NA,   NA,0.07,0.06,0.07,0.06
Mile8,shrub,0.51,   NA,   NA,   NA,   NA,   NA,0.36,0.34,0.36,0.34
Mile8,Total,30.19,   NA,   NA,   NA,   NA,   NA,14.23,14.32,7.65,4.88
