projectName,unitName,epShort,samplingStartDate,plot,clipPlotNo,clipPlotMat,bagNo,grossDryWt_g,bagWt_g
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,9,1,Forbs/Herbaceous,1,10.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,Forbs/Herbaceous,1,10.3,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,10,1,Grass,1,23.6,5.8
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,11,1,Shrubs,1,83.3,46.3
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,12,1,Grass,1,97,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,Shrubs,1,149.4,46.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,1,Forbs/Herbaceous,1,8.9,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Grass,1,106.5,46.5
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Forbs/Herbaceous,1,7.8,5.9
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,1,Shrubs,1,15.6,6
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,Shrubs,1,15.5,7
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,1,Grass,1,78,45.6
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,3,1,Shrubs,1,189,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,8,1,Shrubs,1,60.4,57.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,1,Forbs/Herbaceous,1,9,6.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,9,1,Shrubs,1,9.2,6.4
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,1,Shrubs,1,11.2,6.9
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,10,1,Forbs/Herbaceous,1,8,5.7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,1,Shrubs,1,59.9,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,11,1,Forbs/Herbaceous,1,61.5,42.5
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,1,Grass,1,13.6,7.1
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,13,1,Forbs/Herbaceous,1,11.8,7
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Grass,1,74.4,42.2
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Forbs/Herbaceous,1,13.6,6
Washington DNR Pilot Project,Chumstick ZUI,POST,24-Oct-16,14,1,Shrubs,1,80.8,46.2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Shrubs,1,246.2,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Forbs/Herbaceous,1,7.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Shrubs,1,208.2,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,1,1,Grass,1,114.9,46.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,2,1,Grass,1,25.2,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,1,Shrubs,1,10.4,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,3,1,Grass,1,9.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Grass,1,12.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Shrubs,1,143.2,44.1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,4,1,Forbs/Herbaceous,1,11.1,7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,1,Shrubs,1,67.5,43.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Forbs/Herbaceous,1,9.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Grass,1,100.6,43.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,Shrubs,1,19.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,Grass,1,148,44.2
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,Forbs/Herbaceous,1,14.8,9.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,Grass,1,140.7,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,Forbs/Herbaceous,1,14.6,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Forbs/Herbaceous,1,11.5,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Grass,1,226.1,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,Shrubs,1,89.5,43.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,Grass,1,83,43.7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,Forbs/Herbaceous,1,7.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Shrubs,1,46.1,10
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Grass,1,176.5,43.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,Forbs/Herbaceous,1,12,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Grass,1,171.8,46.7
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Shrubs,1,28.1,7.1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,Forbs/Herbaceous,1,15,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,Forbs/Herbaceous,1,11.5,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,Grass,1,181.8,46.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Grass,1,91.9,53.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Shrubs,1,48.2,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,Forbs/Herbaceous,1,8.6,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,Forbs/Herbaceous,1,7.1,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,Grass,1,139.1,53.4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Shrubs,1,8.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Grass,1,10.1,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,Forbs/Herbaceous,1,7.3,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,Grass,1,63.3,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,Forbs/Herbaceous,1,13.2,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Grass,1,70.8,9.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Forbs/Herbaceous,1,7.7,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,Shrubs,1,42.7,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,Forbs/Herbaceous,1,14.1,9.6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,Grass,1,130,46.4
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Forbs/Herbaceous,1,8.5,5.9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Grass,1,52.1,5.8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,Shrubs,1,17.6,5.9
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,1,2,Grass,1,71,46
Washington DNR Pilot Project,Orion 2,POST,12-Oct-16,2,2,Grass,1,8.5,5.9
