projectName,unitName,epShort,samplingStartDate,plot,transectNo,transectLength_ft,burned_ft,green_ft,mineralsoil_ft
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,5,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,6,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,1,66,49,17,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,7,3,66,40,26,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,1,66,59,7,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,8,3,66,57,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,1,66,35,31,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,2,66,43.5,22.5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,9,3,66,35,31,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,1,66,60,6,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,10,3,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,1,66,50,15,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,11,3,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,1,66,42,29,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,2,66,54.5,11.5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,12,3,66,42,24,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,1,66,14,52,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,2,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,13,3,66,61,5,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,1,66,68.5,1,6.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,2,66,56,9,1
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,14,3,66,55.5,2.5,8
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,1,66,57,0,9
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,15,3,66,51,15,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,1,66,56,10,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,16,3,66,60,0,6
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,1,66,0,51,15
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,2,66,14.5,0,51.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,17,3,66,40.5,0,25.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,2,66,63.5,0,2.5
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,18,3,66,66,6,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,1,66,38,28,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,2,66,38,28,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,19,3,66,46,22,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,1,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,2,66,66,0,0
Washington DNR Pilot Project,Orion 2,PRE,10-Sep-16,20,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,1,66,55,11,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,2,66,63,3,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,1,3,66,45,21,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,1,66,31,35,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,2,66,52,14,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,2,3,66,40,26,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,1,66,60,6,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,2,66,36,30,3
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,3,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,1,66,37.5,28.5,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,2,66,56,10,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,4,3,66,66,0,0
Washington DNR Pilot Project,Paradise 90,PRE,17-Aug-16,5,1,66,66,0,0
