projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
Washington DNR Pilot Project,Oak Creek,4,E,12,SF,42,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,4,N,11,SF,25,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,4,S,12,SF,62,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,4,W,9,SF,13,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,E,5,SF,37,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,7,N,8,SF,20,FM,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,8,E,4,SF,20,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,8,N,7,SF,41,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,8,S,10,SF,59,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,9,E,21,SF,64,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,9,N,4,SF,12,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,9,S,4,SF,6,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,9,W,6,SF,43,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,10,E,20,SF,72,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,10,N,9,SF,34,GR,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,10,W,13,SF,46,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,11,E,10,SF,29,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,11,N,16,SF,28,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,11,S,10,SF,48,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,11,W,12,SF,25,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,12,N,1,SF,0,ND,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,13,N,9,SF,21,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,14,E,9,SF,24,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,14,S,7,SF,12,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,14,W,17,SF,37,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,15,S,18,SF,10,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,16,E,32,SF,48,SF,Mineral soil,,
Washington DNR Pilot Project,Oak Creek,16,N,12,SF,32,SF,Mineral soil,,
